"HUC2","mean","nitrogen"
1,1.145,0.136246937022824
2,5.65520547945205,0.925859531327492
3,6.01835616438356,0.924616441389165
4,3.09466019417476,0.501423972977411
5,4.78556962025316,0.61451653051146
6,6.517,3.15597002168553
7,12.0315151515152,2.57263832118614
8,24.6075862068966,8.32962139151021
9,9.26151515151515,2.42071548719104
10,16.0321893491124,2.87293630522416
11,22.3425714285714,6.21549455594467
12,13.5819047619048,3.73670001111484
13,12.91,11.3072896840932
14,3.32093023255814,1.12459584540346
15,13.1152631578947,4.5062488366738
16,8.64577777777778,2.24342942945355
17,4.30741071428571,1.45123550381762
18,0.762857142857143,0.18987106258765
